Phylum,R1,R1,R1,R1,R2,R2,R2,R2,S,S,S,S
Proteobacteria,0.000185392,0.000383404,7.5361E-05,0.000506999,0.000160839,0.003900893,0.000218694,0.000169447,4.57874E-05,4.37162E-05,2.90559E-05,4.21579E-05
Proteobacteria,0.000148921,6.97099E-05,0.00014821,0.00012675,0.000187645,0.000224659,0.000159815,0.007996611,0.000151451,0.00016106,0.000113582,0.000140526
Actinobacteria,0.003185091,0.000197511,7.7873E-05,0.001830267,8.37701E-05,0.000151718,0.000159815,0.000156413,7.04421E-05,5.75214E-05,7.13191E-05,5.05895E-05
Bacteroidetes,0.000130686,7.35827E-05,3.51685E-05,0.00015717,4.02096E-05,5.54353E-05,0.00595521,8.47237E-05,2.46547E-05,3.2212E-05,2.90559E-05,0.0002136
Bacteroidetes,0.000103333,0.000131674,7.28489E-05,0.00016224,0.000137383,8.16941E-05,0.001072442,0.007247132,5.28316E-05,5.06188E-05,2.3773E-05,2.24842E-05
Actinobacteria,0.000194509,0.000267221,7.7873E-05,0.00019266,9.71733E-05,0.003725835,0.000130375,0.000136861,4.93095E-05,0,4.75461E-05,2.52948E-05
Verrucomicrobia,0.000106372,6.19643E-05,9.29452E-05,0.006905328,7.03668E-05,7.29412E-05,0.000121964,8.47237E-05,2.46547E-05,5.06188E-05,3.69803E-05,4.21579E-05
Deinococcus-Thermus,0.000221862,0.00273805,0.000178354,0.001262428,0.000211101,0.000230494,0.000206077,0.000110792,7.04421E-05,9.20342E-05,0.000208675,0.000309158
Proteobacteria,0.002695778,0.000243985,7.7873E-05,0.000324479,8.04193E-05,0.000119624,0.001312165,0.000202033,5.63537E-05,5.06188E-05,4.22632E-05,4.7779E-05
Firmicutes,0.003537639,0.000236239,0.000100481,0.00022815,0,9.62823E-05,0.000142992,0.000143379,3.87432E-05,3.68137E-05,2.90559E-05,3.93474E-05
Actinobacteria,0.000121568,0.004519525,7.28489E-05,0.00019773,9.71733E-05,8.16941E-05,8.41131E-05,0.00011731,3.1699E-05,3.45128E-05,3.96217E-05,0
Proteobacteria,0.002604602,0.000313695,8.0385E-05,0.000664169,6.03144E-05,0.000122541,0.000130375,0.000299791,0,8.51316E-05,0.000240372,0.000101179
Acidobacteria,0.000164117,9.29465E-05,7.7873E-05,0.00549587,0.000117278,9.62823E-05,9.25244E-05,7.82065E-05,4.22653E-05,4.8318E-05,5.54704E-05,3.65369E-05
Proteobacteria,8.20586E-05,0,2.26083E-05,0,0,0.000989082,0.002704237,5.21376E-05,3.1699E-05,0.000317518,0.000269428,0.000171442
Actinobacteria,0.001510487,0.000143293,8.79211E-05,0.002666815,0,0,0.000121964,4.56204E-05,0,0.000227785,0.000176977,2.24842E-05
Actinobacteria,0.003215483,0.000147165,7.03369E-05,0.00016224,0,0.000107953,0.000130375,0.00011731,3.52211E-05,3.2212E-05,2.90559E-05,3.93474E-05
Actinobacteria,8.81371E-05,0.003988955,6.28008E-05,0.00019266,7.70685E-05,8.16941E-05,7.99075E-05,0.000104275,6.33979E-05,2.99111E-05,2.11316E-05,5.34E-05
Bacteroidetes,0.000139804,0.000185893,7.03369E-05,0.000471509,0.00012733,0.000113788,0.000252339,0.000228102,0.000338122,5.75214E-05,0.000470178,0.001616054
Actinobacteria,0.000136764,0.000197511,7.7873E-05,0.002408246,0.000103875,8.46117E-05,0.002300494,0.00016293,4.93095E-05,0,0,0
Proteobacteria,0.000133725,0.000131674,0.000140674,0.00017745,0.000160839,0.000177976,0.001564504,0.000110792,0.000204282,0.000103538,0.000707909,0.000576158
Proteobacteria,7.2941E-05,4.64733E-05,7.28489E-05,8.61899E-05,0.000113927,7.58588E-05,7.99075E-05,0.006543274,6.692E-05,6.21231E-05,3.69803E-05,4.7779E-05
Proteobacteria,0.000221862,0.000201384,9.54572E-05,0.00027378,0.000174242,0.000105035,0.000164021,0.000247654,5.98758E-05,0.001626705,6.07533E-05,9.5558E-05
Chloroflexi,9.11763E-05,3.48549E-05,3.01444E-05,0.005085201,8.04193E-05,4.37647E-05,5.04679E-05,5.21376E-05,3.87432E-05,2.76103E-05,2.3773E-05,2.24842E-05
Acidobacteria,0.002659308,0.000108438,6.78249E-05,0.00023829,0,0.000119624,9.67301E-05,5.21376E-05,3.87432E-05,4.8318E-05,5.2829E-05,4.21579E-05
Patescibacteria,0.002501269,5.0346E-05,5.02407E-05,5.57699E-05,2.34556E-05,4.66823E-05,7.57018E-05,0.00011731,2.46547E-05,3.68137E-05,0.000353954,2.24842E-05
Armatimonadetes,6.07842E-06,0.000104565,6.53128E-05,0.00014196,0.002891742,8.46117E-05,9.67301E-05,0.000136861,6.692E-05,4.37162E-05,4.49046E-05,3.37263E-05
Proteobacteria,0.002431367,0.000151038,7.7873E-05,0.00022308,2.68064E-05,0.000134212,9.67301E-05,7.16893E-05,7.39642E-05,5.06188E-05,4.75461E-05,4.7779E-05
Bacteroidetes,0.002385779,8.5201E-05,4.01925E-05,0.0001521,5.36128E-05,5.54353E-05,0.000353275,0.000143379,0,3.68137E-05,2.3773E-05,2.81053E-05
Proteobacteria,0.000221862,0.000185893,0.000165794,0,0.000217802,0.001429647,0,0,0,0.000264598,0.000380369,0
Acidobacteria,1.82353E-05,6.58371E-05,7.28489E-05,7.09799E-05,0.002620327,0.000122541,5.46735E-05,5.21376E-05,5.28316E-05,5.75214E-05,4.75461E-05,7.02632E-05
Actinobacteria,0.00245872,0.000127801,6.53128E-05,0.00014703,0,5.83529E-05,0.000113553,5.21376E-05,0,1.38051E-05,0,2.52948E-05
Proteobacteria,0.002154799,0.00020913,0.000102993,0.00011661,0,9.92E-05,7.14962E-05,6.51721E-05,3.1699E-05,4.14154E-05,6.60362E-05,5.62106E-05
Actinobacteria,4.55881E-05,0.000151038,7.03369E-05,0.0001014,0.001390583,4.96E-05,0.001614972,8.47237E-05,0,1.6106E-05,1.84901E-05,2.24842E-05
Fusobacteria,0.001698918,9.68193E-05,3.26564E-05,0.0001014,2.68064E-05,8.46117E-05,0.000100936,7.16893E-05,0.000633979,3.45128E-05,3.96217E-05,2.24842E-05
Bacteroidetes,0.001188331,5.80916E-05,2.76324E-05,6.08399E-05,0.00133697,1.75059E-05,7.57018E-05,0.000156413,2.11326E-05,2.99111E-05,5.2829E-06,0
Firmicutes,0.002221662,9.68193E-05,5.02407E-05,0.00017745,0,3.20941E-05,0.000121964,6.51721E-05,0,2.53094E-05,2.64145E-05,2.24842E-05
Tenericutes,8.50978E-05,0.000104565,3.76805E-05,0.003533784,5.0262E-05,3.20941E-05,8.41131E-05,0.00011731,0,1.6106E-05,2.3773E-05,0
Actinobacteria,0.00076892,9.29465E-05,8.28971E-05,0.00013689,5.36128E-05,0.000735247,0.000895805,0,0,0,2.90559E-05,3.09158E-05
Actinobacteria,9.42155E-05,8.5201E-05,5.02407E-05,0.003254934,9.71733E-05,5.83529E-05,5.46735E-05,7.16893E-05,2.11326E-05,6.90257E-06,1.32072E-05,2.81053E-05
Actinobacteria,0.000112451,6.97099E-05,1.75842E-05,9.12598E-05,0,3.79294E-05,0.002960782,0,0,0,0,0
Proteobacteria,0.001750584,6.97099E-05,8.0385E-05,0,1.00524E-05,0.000105035,4.62622E-05,5.86548E-05,5.63537E-05,3.91145E-05,5.01875E-05,6.74527E-05
Actinobacteria,0.000145882,0.00011231,9.54572E-05,0.00015717,0.000137383,0.001371294,0.000130375,0.000130344,1.76105E-05,3.45128E-05,1.84901E-05,4.21579E-05
Firmicutes,0.001683722,7.74554E-05,4.52166E-05,0.0001521,0,6.12706E-05,9.67301E-05,0.000104275,4.22653E-05,3.2212E-05,3.16974E-05,2.81053E-05
Actinobacteria,0.000112451,0.000151038,7.7873E-05,0.00018252,4.02096E-05,4.08471E-05,0.001724319,5.86548E-05,0,0,0.000335464,2.24842E-05
Proteobacteria,0.001279507,0.000286585,6.28008E-05,0.000314339,5.0262E-05,9.62823E-05,7.57018E-05,0.000241137,0,2.07077E-05,2.3773E-05,3.09158E-05
Actinobacteria,6.99018E-05,7.74554E-05,4.01925E-05,0.000344759,8.04193E-05,4.66823E-05,5.04679E-05,0.003226017,2.11326E-05,0,1.58487E-05,1.68632E-05
Proteobacteria,4.55881E-05,5.0346E-05,0,9.63298E-05,0.001333619,3.50118E-05,5.04679E-05,0,0,0.000391145,5.54704E-05,0
Firmicutes,0.000282646,0.00025173,0.000163282,0.000537419,0.000244609,0.0001984,0.000206077,0.000215068,6.33979E-05,3.91145E-05,4.75461E-05,6.46421E-05
Firmicutes,3.95097E-05,5.0346E-05,0,0.00014703,6.03144E-05,3.20941E-05,0.002254232,3.91032E-05,0,0,0,0
Actinobacteria,0.000109412,8.90737E-05,3.51685E-05,0.00014703,5.69636E-05,8.75294E-05,4.20566E-05,7.16893E-05,0.000464918,3.2212E-05,3.43388E-05,0.000753222
Actinobacteria,0.000139804,0.00013942,3.51685E-05,0.00012168,9.71733E-05,3.79294E-05,6.30848E-05,7.82065E-05,0.000366299,0,2.64145E-05,0.000789758
Patescibacteria,0.000513626,5.0346E-05,0.000105505,5.57699E-05,2.34556E-05,0.000773176,2.52339E-05,7.82065E-05,1.76105E-05,2.53094E-05,0,8.15053E-05
Proteobacteria,8.50978E-05,3.48549E-05,7.03369E-05,5.06999E-05,6.7016E-05,0.001222494,3.36453E-05,7.16893E-05,0,2.76103E-05,0,4.21579E-05
Actinobacteria,0.000507548,4.64733E-05,0,4.05599E-05,3.68588E-05,3.79294E-05,0.001303754,5.21376E-05,2.11326E-05,2.30086E-05,0,0
